simN,origN
0.179997425383308,0.177628607
0.302893544510461,0.345757753
0.154575446030411,0.170366526
0.328939193411405,0.374494046
0.21178153483262,0.198990241
0.318289088372459,0.326148868
0.211258719300496,0.206997186
0.20636981451046,0.152241752
0.175516511027186,0.258148283
0.184561881499478,0.191635311
0.177501914471936,0.185289338
0.179622900667621,0.180800214
0.202305550798708,0.206015453
0.11852650555432,0.182353944
0.175103880098618,0.166241974
0.172967785320219,0.158677429
0.19543890948784,0.149798676
0.130860490725967,0.150161415
0.156003737851735,0.160514966
0.154905311366173,0.158670187
0.12663977673818,0.123907365
0.164283734408571,0.135838285
0.122679992415028,0.099406905
0.190407935154956,0.171945721
0.177104151297259,0.172706619
0.258867112844908,0.258215994
0.103917452678322,0.103560738
0.0659243808784438,0.075586483
0.143420841758686,0.161844626
0.149813125687001,0.168286696
0.207980314566999,0.155001462
0.271453068889705,0.233302265
0.0758856909260301,0.149508029
0.234522804039897,0.195382372
0.248806781782454,0.216123283
0.284841742819997,0.382027417
0.0807931413144348,0.05821462
0.0456819191790281,0.069809847
0.0189220142012212,0.060942851
0.254240167960256,0.29315111
0.378027886815152,0.446761608
0.36819154163533,0.358732611
0.182229602838467,0.147503644
0.148288710649165,0.16571486
0.142770560988828,0.102143124
0.0802360052129985,0.074158035
0.211020671093049,0.209728077
0.137121084923491,0.13929823
0.204497226793746,0.198217511
0.216551490228866,0.194140643
0.116539398306842,0.097983599
0.118804919994304,0.079105943
0.154739841740105,0.108043075
0.12377356161246,0.092473179
0.109938454108405,0.112309366
0.11652340976673,0.119462758
0.204560347288208,0.157699987
0.10472698576661,0.095164828
0.117260025272935,0.07099653
0.078746742736902,0.072522506
0.124682719592984,0.114046611
0.192596322349919,0.213541284
0.242157456645383,0.228930429
0.132939699129101,0.117114596
0.11023049282496,0.108765036
0.173927775744131,0.125377357
0.306427410663309,0.318846881
0.0863913957713662,0.101944238
0.0202860445757964,0.052554205
-0.0133761160713414,0.038019229
0.145336234205799,0.10868746
0.130277197025817,0.065204635
0.164222403728532,0.079339802
0.0232877676183349,0.045189872
0.0506475407516966,0.076384656
0.0881687845982043,0.055672217
0.0334615710200201,0.038151626
-0.0272923808263397,0.02756127
-0.0042259964248797,0.031682335
0.00565725632323151,0.04132862
0.0421317876523172,0.042892411
-0.00579933823145465,0.038990371
0.0767303271780306,0.052703518
0.0393222537932581,0.053765941
0.0633887338334847,0.06709075
0.212960602983134,0.200514749
0.36726157372436,0.334624171
0.257721627785026,0.267097384
0.23380129477421,0.253647298
0.330344600673506,0.303068459
0.305494269154284,0.295473486
0.251913321082576,0.287667394
0.256437815498193,0.255883187
0.214129880296201,0.340061575
0.184531769369815,0.260841519
0.164209198279244,0.130164921
0.0406998161962466,0.077756479
0.0118000695526617,0.071053304
0.0609303260432934,0.082137562
0.108655335784266,0.132631093
0.149445291016981,0.136726126
0.144429026180129,0.177749321
0.321896605731819,0.322790682
0.32058317284119,0.323063493
0.358844445323043,0.38982147
0.310358685436627,0.334096223
0.327179219994259,0.325502872
0.323921198781451,0.313148737
0.340772939213951,0.300858527
0.277932521171699,0.239506856
0.326151530028949,0.317641258
0.280854352287402,0.317569256
0.286031919325735,0.283234417
0.259589457449855,0.235423297
0.106462685699312,0.128789037
0.135467278428699,0.168970063
0.0932992191414635,0.144629985
0.0991373301147416,0.146914423
0.0722180907885706,0.140044749
0.115297231447929,0.121541582
0.154670379678149,0.131751254
0.175116542040903,0.126376867
0.162804417386942,0.096763261
0.273016721398367,0.19880338
0.266801177574971,0.202732399
0.11168073491392,0.102694504
0.04475330074648,0.058136031
0.0175143723705867,0.049677122
0.0664809863133104,0.063685603
0.253712697129179,0.187897444
0.288922190631197,0.198420778
0.155094414954433,0.117413782
0.295830205466544,0.297864169
0.0819673954258311,0.099427931
0.0842413560355768,0.081973799
0.20238059285917,0.215649605
0.154380948708143,0.139265433
0.185610952629911,0.139519468
0.137497842084046,0.11754562
0.122033054354991,0.080248065
0.252386866143327,0.266288698
0.166261049408127,0.120487422
0.103029449573281,0.098551489
0.106624672340062,0.087552033
0.107735472689177,0.117175005
0.158272640602027,0.183008254
0.0979607471261632,0.084990211
0.11468205574635,0.108061172
0.131205427460968,0.134689867
0.162222433766468,0.137755588
0.225762087876573,0.199132994
0.123499105355186,0.164183989
0.142165484111511,0.15473552
0.172869846518475,0.125487059
0.0630283190988413,0.085960768
0.0616126115032793,0.072154686
0.0935865243212217,0.075367302
0.0983555618010646,0.07632722
0.154987846930997,0.11292816
0.515639622066305,0.735871792
0.102232871435799,0.144099951
0.1804002008481,0.156022921
0.165191233043916,0.14521192
0.199122390159218,0.212778047
0.305689746957809,0.200664341
0.235952541607751,0.210545108
0.219597289627342,0.211544186
0.199309156994008,0.182144508
0.208342157769488,0.188200876
0.11847848262605,0.124985687
0.0767349968239122,0.133491874
0.214001827082831,0.225826219
0.210488807280797,0.198291704
0.222577234113384,0.197185934
0.163330539691274,0.137093917
0.260804927195868,0.281885475
0.347624428243513,0.362687469
0.157017862443072,0.12368343
0.268745562817514,0.212309092
0.297072385079994,0.267658859
0.256773828854509,0.245313719
0.0855810630115611,0.076342098
0.370163443223643,0.41005373
0.327299769958028,0.396683812
0.198543049493731,0.178530663
0.143759284727923,0.150310069
0.317192530368731,0.281614989
0.261132248431112,0.226907715
0.301963566902593,0.310002178
0.336874619524197,0.289161414
0.195701730097599,0.190513015
0.182720918935827,0.178428635
0.16929098429819,0.151282325
0.159259676065623,0.155966535
0.201927570914462,0.159660265
0.247301237186607,0.20024839
0.330955229968084,0.393558919
0.209454264813046,0.222711042
0.196839713528686,0.148799106
0.139473140804285,0.184809282
0.0904236452653847,0.080021143
0.1942819863806,0.224844128
0.16404245942253,0.148277387
0.112018019294644,0.078008674
0.142213426624048,0.148658514
0.0176528735407207,0.059699364
0.150311873145318,0.194298729
0.0623880449606316,0.064662777
0.0875451749546503,0.105242617
0.0613518551890691,0.06279815
0.101659785045184,0.101260543
0.0834180393193738,0.097165175
0.0924902457678425,0.094596162
0.081636041079023,0.053435422
0.0193098032106699,0.063147515
0.126120205533457,0.136279121
0.105399704018156,0.114185289
0.078202234052375,0.094101667
0.156814926772081,0.14598684
0.103903914085467,0.084205613
0.0522526578487611,0.062598377
0.15711963262666,0.140114367
0.1417398737124,0.15149188
0.144008298427521,0.099204078
0.0035714521401418,0.079246029
0.0673050083242877,0.097914107
0.052257134768666,0.062618539
0.0567428713795006,0.039872672
0.154626780708663,0.16575852
0.150827200754236,0.158652902
0.0805404579317889,0.078370482
0.0922400821290434,0.039094582
0.0222689568612937,0.036654491
0.175403897887158,0.165531874
0.0899323135738304,0.12925753
0.028959284717998,0.041391358
0.0311138383942635,0.031894065
0.117620730970207,0.129523128
0.0735608557529502,0.069747858
0.0500563876043155,0.055234596
0.0681639817741473,0.068962187
0.0662239711468949,0.066448987
0.0962190359752576,0.054522566
0.0430351679519378,0.046917368
0.130292574188792,0.135506257
0.151032885849792,0.169889465
0.125481067621848,0.137151673
0.129220154356014,0.12612094
0.0832317473447446,0.057900943
0.058704264490771,0.074686863
0.145001317467092,0.14283894
0.0945593664363115,0.089079291
0.0222045449211411,0.037050173
0.223371515621023,0.139479175
0.182539335559686,0.11888165
-0.00610221996122846,0.024443956
0.267093643376259,0.323495299
0.290925344250948,0.41275236
0.12920451846777,0.063883074
0.183454037829611,0.176312074
0.208447675367501,0.153238401
0.347063413636938,0.453803152
0.183930083143067,0.173681527
0.120061512104752,0.065965794
0.239556443056466,0.184329122
0.319345019771364,0.310499102
